choice,pf,cl,loc,wk,tod,seas,chid,id,x1,samplesplit
0,0,1,0,0,0,1,28,3,1,4
0,0,5,0,0,1,0,28,3,1,4
1,9,0,0,1,0,0,28,3,1,4
0,0,0,0,1,0,1,29,3,1,4
0,0,1,0,0,1,0,29,3,1,4
0,9,0,0,1,0,0,29,3,1,4
1,7,5,1,0,0,0,29,3,1,4
0,0,5,0,0,0,1,30,3,1,4
0,0,1,0,0,1,0,30,3,1,4
0,9,5,1,0,0,0,30,3,1,4
1,7,0,0,1,0,0,30,3,1,4
0,9,5,0,1,0,0,31,3,1,4
0,0,0,0,1,1,0,31,3,1,4
0,0,5,1,0,0,1,31,3,1,4
1,7,1,0,0,0,0,31,3,1,4
1,9,1,0,1,0,0,32,3,1,4
0,7,0,1,0,0,0,32,3,1,4
0,0,5,0,1,1,0,32,3,1,4
0,0,0,0,0,0,1,32,3,1,4
0,0,0,0,0,1,0,33,3,1,4
1,9,1,0,0,0,0,33,3,1,4
0,0,5,0,0,0,1,33,3,1,4
0,0,5,0,1,0,1,33,3,1,4
0,9,5,0,1,0,0,34,3,1,4
0,0,5,0,0,0,1,34,3,1,4
1,7,1,0,0,0,0,34,3,1,4
0,0,0,0,0,1,0,34,3,1,4
1,7,1,0,0,0,0,35,3,1,4
0,0,0,0,0,1,0,35,3,1,4
0,0,5,1,0,0,1,35,3,1,4
0,9,5,0,1,0,0,35,3,1,4
0,0,0,0,0,1,0,36,3,1,4
0,0,1,0,1,0,1,36,3,1,4
1,7,5,0,0,0,0,36,3,1,4
0,9,0,0,0,0,0,36,3,1,4
0,9,0,0,0,0,0,37,4,3,3
1,0,0,0,1,0,1,37,4,3,3
0,0,1,1,0,1,0,37,4,3,3
0,7,5,0,1,0,0,37,4,3,3
0,0,0,0,0,1,0,38,4,3,3
0,7,5,0,0,0,0,38,4,3,3
1,0,0,1,0,0,1,38,4,3,3
0,9,1,0,1,0,0,38,4,3,3
1,0,1,0,0,1,0,39,4,3,3
0,9,5,0,1,0,0,39,4,3,3
0,0,5,0,1,0,1,39,4,3,3
0,7,0,0,0,0,0,39,4,3,3
0,9,0,1,0,0,0,40,4,3,3
0,7,5,0,0,0,0,40,4,3,3
1,0,1,0,1,0,1,40,4,3,3
0,0,1,0,0,1,0,40,4,3,3
0,0,0,1,0,1,0,41,4,3,3
0,7,1,0,0,0,0,41,4,3,3
0,9,5,0,1,0,0,41,4,3,3
1,0,5,0,1,0,1,41,4,3,3
0,9,5,0,1,0,0,42,4,3,3
0,0,0,0,0,0,1,42,4,3,3
0,7,1,0,0,0,0,42,4,3,3
1,0,0,1,0,1,0,42,4,3,3
1,7,0,0,0,0,0,43,4,3,3
0,0,0,0,1,1,0,43,4,3,3
0,0,5,0,1,0,1,43,4,3,3
0,9,1,0,0,0,0,43,4,3,3
0,7,5,1,0,0,0,44,4,3,3
0,0,1,0,0,0,1,44,4,3,3
0,0,5,0,0,1,0,44,4,3,3
1,9,0,0,1,0,0,44,4,3,3
1,0,0,0,1,0,1,45,4,3,3
0,0,1,0,0,1,0,45,4,3,3
0,9,0,0,1,0,0,45,4,3,3
0,7,5,1,0,0,0,45,4,3,3
0,0,5,0,0,0,1,46,4,3,3
0,0,1,0,0,1,0,46,4,3,3
0,9,5,1,0,0,0,46,4,3,3
1,7,0,0,1,0,0,46,4,3,3
0,9,5,0,1,0,0,47,4,3,3
0,0,0,0,1,1,0,47,4,3,3
0,0,5,1,0,0,1,47,4,3,3
1,7,1,0,0,0,0,47,4,3,3
0,9,1,0,1,0,0,48,4,3,3
1,7,0,1,0,0,0,48,4,3,3
0,0,5,0,1,1,0,48,4,3,3
0,0,0,0,0,0,1,48,4,3,3
1,7,5,0,1,0,0,49,5,5,4
0,9,1,1,0,0,0,49,5,5,4
0,0,0,0,0,0,1,49,5,5,4
0,0,5,0,1,1,0,49,5,5,4
1,7,0,0,1,0,0,50,5,5,4
0,9,5,0,1,0,0,50,5,5,4
0,0,1,1,0,1,0,50,5,5,4
0,0,5,0,0,0,1,50,5,5,4
0,9,5,0,0,0,0,51,5,5,4
1,7,1,0,1,0,0,51,5,5,4
0,0,0,0,1,1,0,51,5,5,4
0,0,0,1,0,0,1,51,5,5,4
0,0,1,0,1,0,1,52,5,5,4
0,9,1,0,0,0,0,52,5,5,4
1,7,0,1,0,0,0,52,5,5,4
0,0,5,0,1,1,0,52,5,5,4
0,0,0,1,0,1,0,53,5,5,4
0,9,1,0,1,0,0,53,5,5,4
0,0,0,0,0,0,1,53,5,5,4
1,7,5,0,1,0,0,53,5,5,4
0,0,0,0,0,0,1,54,5,5,4
0,9,0,0,0,0,0,54,5,5,4
0,0,1,1,0,1,0,54,5,5,4
1,7,5,0,1,0,0,54,5,5,4
0,0,5,0,1,0,1,55,5,5,4
0,9,0,0,0,0,0,55,5,5,4
0,0,1,0,0,1,0,55,5,5,4
1,7,5,1,0,0,0,55,5,5,4
0,9,0,0,1,0,0,56,5,5,4
1,7,1,0,0,0,0,56,5,5,4
0,0,1,1,0,0,1,56,5,5,4
0,0,5,0,0,1,0,56,5,5,4
0,0,5,0,1,0,1,57,5,5,4
0,0,5,0,0,1,0,57,5,5,4
0,9,0,0,1,0,0,57,5,5,4
1,7,1,0,0,0,0,57,5,5,4
0,0,1,0,1,0,1,58,5,5,4
0,0,5,1,0,1,0,58,5,5,4
1,7,0,0,0,0,0,58,5,5,4
0,9,0,0,1,0,0,58,5,5,4
0,9,5,0,1,0,0,59,5,5,4
0,0,0,0,1,1,0,59,5,5,4
0,0,5,1,0,0,1,59,5,5,4
1,7,1,0,0,0,0,59,5,5,4
0,0,1,0,1,1,0,60,5,5,4
1,7,5,0,0,0,0,60,5,5,4
0,9,5,1,0,0,0,60,5,5,4
0,0,0,0,1,0,1,60,5,5,4
1,7,5,1,0,0,0,61,6,7,1
0,0,1,0,1,0,1,61,6,7,1
0,0,0,0,0,1,0,61,6,7,1
0,9,0,0,0,0,0,61,6,7,1
0,0,5,0,1,1,0,62,6,7,1
0,0,5,0,0,0,1,62,6,7,1
1,9,1,1,0,0,0,62,6,7,1
0,7,0,0,1,0,0,62,6,7,1
0,0,1,0,0,0,1,63,6,7,1
0,7,0,0,0,0,0,63,6,7,1
1,9,0,1,0,0,0,63,6,7,1
0,0,5,0,1,1,0,63,6,7,1
1,9,1,1,0,0,0,64,6,7,1
0,7,1,0,1,0,0,64,6,7,1
0,0,0,0,1,1,0,64,6,7,1
0,0,5,0,0,0,1,64,6,7,1
0,0,5,0,0,1,0,65,6,7,1
1,7,0,1,0,0,0,65,6,7,1
0,0,1,0,1,0,1,65,6,7,1
0,9,0,0,0,0,0,65,6,7,1
0,0,5,1,0,0,1,66,6,7,1
1,7,1,0,1,0,0,66,6,7,1
0,0,0,0,0,1,0,66,6,7,1
0,9,1,0,0,0,0,66,6,7,1
0,7,1,0,0,0,0,67,6,7,1
1,9,0,0,1,0,0,67,6,7,1
0,0,5,0,0,1,0,67,6,7,1
0,0,1,1,0,0,1,67,6,7,1
1,9,0,0,1,0,0,68,6,7,1
0,7,0,0,0,0,0,68,6,7,1
0,0,1,0,1,0,1,68,6,7,1
0,0,5,1,0,1,0,68,6,7,1
0,0,0,1,0,0,1,69,6,7,1
0,0,1,0,0,1,0,69,6,7,1
0,9,1,0,0,0,0,69,6,7,1
1,9,5,0,1,0,0,69,6,7,1
1,9,0,0,1,0,0,70,6,7,1
0,7,5,0,0,0,0,70,6,7,1
0,0,1,1,0,0,1,70,6,7,1
0,0,0,0,0,1,0,70,6,7,1
0,0,1,0,1,0,1,71,6,7,1
0,9,0,0,1,0,0,71,6,7,1
0,0,0,0,0,1,0,71,6,7,1
1,7,5,1,0,0,0,71,6,7,1
0,0,5,0,1,0,1,72,6,7,1
1,9,0,0,1,0,0,72,6,7,1
0,7,1,0,0,0,0,72,6,7,1
0,0,0,0,0,1,0,72,6,7,1
0,9,5,0,0,0,0,73,7,9,1
0,0,0,0,1,0,1,73,7,9,1
0,0,1,1,0,1,0,73,7,9,1
1,7,5,0,1,0,0,73,7,9,1
0,0,0,0,1,0,1,74,7,9,1
0,0,5,0,0,1,0,74,7,9,1
0,9,5,0,0,0,0,74,7,9,1
1,7,1,0,1,0,0,74,7,9,1
0,0,1,0,1,1,0,75,7,9,1
0,9,5,1,0,0,0,75,7,9,1
1,0,5,0,1,0,1,75,7,9,1
0,7,0,0,0,0,0,75,7,9,1
0,9,0,0,1,0,0,76,7,9,1
0,0,1,0,0,0,1,76,7,9,1
1,0,1,0,1,1,0,76,7,9,1
0,7,5,0,0,0,0,76,7,9,1
0,0,5,0,0,0,1,77,7,9,1
0,0,0,0,0,1,0,77,7,9,1
0,9,1,0,1,0,0,77,7,9,1
1,7,1,0,1,0,0,77,7,9,1
0,7,5,0,0,0,0,78,7,9,1
1,0,1,0,1,1,0,78,7,9,1
0,0,0,0,1,0,1,78,7,9,1
0,9,1,0,0,0,0,78,7,9,1
0,9,5,0,0,0,0,79,7,9,1
0,0,1,0,0,1,0,79,7,9,1
1,7,5,0,1,0,0,79,7,9,1
0,0,0,1,0,0,1,79,7,9,1
0,9,5,0,0,0,0,80,7,9,1
0,7,0,0,0,0,0,80,7,9,1
0,0,0,0,1,1,0,80,7,9,1
1,0,1,0,1,0,1,80,7,9,1
0,0,0,0,1,0,1,81,7,9,1
0,9,1,1,0,0,0,81,7,9,1
0,7,5,0,0,0,0,81,7,9,1
1,0,5,0,1,1,0,81,7,9,1
0,7,0,0,1,0,0,82,7,9,1
1,0,5,0,1,1,0,82,7,9,1
0,9,1,1,0,0,0,82,7,9,1
0,0,1,0,0,0,1,82,7,9,1
0,0,5,1,0,1,0,83,7,9,1
1,9,1,0,1,0,0,83,7,9,1
0,7,0,0,0,0,0,83,7,9,1
0,0,0,0,1,0,1,83,7,9,1
0,0,1,0,1,1,0,84,7,9,1
1,9,5,0,1,0,0,84,7,9,1
0,7,0,1,0,0,0,84,7,9,1
0,0,1,0,1,0,1,84,7,9,1
0,9,0,0,0,0,0,85,8,11,2
1,0,0,0,1,0,1,85,8,11,2
0,0,1,1,0,1,0,85,8,11,2
0,7,5,0,1,0,0,85,8,11,2
0,0,0,0,0,1,0,86,8,11,2
1,7,5,0,0,0,0,86,8,11,2
0,0,0,1,0,0,1,86,8,11,2
0,9,1,0,1,0,0,86,8,11,2
0,0,1,0,0,1,0,87,8,11,2
1,9,5,0,1,0,0,87,8,11,2
0,0,5,0,1,0,1,87,8,11,2
0,7,0,0,0,0,0,87,8,11,2
0,9,0,1,0,0,0,88,8,11,2
1,7,5,0,0,0,0,88,8,11,2
0,0,1,0,1,0,1,88,8,11,2
0,0,1,0,0,1,0,88,8,11,2
0,0,0,1,0,1,0,89,8,11,2
1,7,1,0,0,0,0,89,8,11,2
0,9,5,0,1,0,0,89,8,11,2
0,0,5,0,1,0,1,89,8,11,2
0,9,5,0,1,0,0,90,8,11,2
0,0,0,0,0,0,1,90,8,11,2
1,7,1,0,0,0,0,90,8,11,2
0,0,0,1,0,1,0,90,8,11,2
1,7,0,0,0,0,0,91,8,11,2
0,0,0,0,1,1,0,91,8,11,2
0,0,5,0,1,0,1,91,8,11,2
0,9,1,0,0,0,0,91,8,11,2
1,7,5,1,0,0,0,92,8,11,2
0,0,1,0,0,0,1,92,8,11,2
0,0,5,0,0,1,0,92,8,11,2
0,9,0,0,1,0,0,92,8,11,2
0,0,0,0,1,0,1,93,8,11,2
0,0,1,0,0,1,0,93,8,11,2
0,9,0,0,1,0,0,93,8,11,2
1,7,5,1,0,0,0,93,8,11,2
0,0,5,0,0,0,1,94,8,11,2
0,0,1,0,0,1,0,94,8,11,2
0,9,5,1,0,0,0,94,8,11,2
1,7,0,0,1,0,0,94,8,11,2
0,9,5,0,1,0,0,95,8,11,2
0,0,0,0,1,1,0,95,8,11,2
0,0,5,1,0,0,1,95,8,11,2
1,7,1,0,0,0,0,95,8,11,2
0,9,1,0,1,0,0,96,8,11,2
1,7,0,1,0,0,0,96,8,11,2
0,0,5,0,1,1,0,96,8,11,2
0,0,0,0,0,0,1,96,8,11,2
0,0,5,0,1,1,0,97,9,13,2
0,9,0,1,0,0,0,97,9,13,2
1,0,1,0,1,0,1,97,9,13,2
0,7,5,0,0,0,0,97,9,13,2
1,0,5,1,0,0,1,98,9,13,2
0,7,1,0,0,0,0,98,9,13,2
0,0,0,0,0,1,0,98,9,13,2
0,9,1,0,0,0,0,98,9,13,2
0,0,1,0,0,1,0,99,9,13,2
1,7,5,0,1,0,0,99,9,13,2
0,0,0,0,0,1,0,99,9,13,2
0,0,1,0,0,0,1,99,9,13,2
0,9,0,0,1,0,0,100,9,13,2
0,7,0,0,0,0,0,100,9,13,2
0,0,1,0,1,0,1,100,9,13,2
1,0,5,1,0,1,0,100,9,13,2
1,7,5,1,0,0,0,101,9,13,2
0,0,1,0,1,0,1,101,9,13,2
0,0,0,0,0,1,0,101,9,13,2
0,9,0,0,0,0,0,101,9,13,2
0,0,5,0,1,1,0,102,9,13,2
1,0,5,0,0,0,1,102,9,13,2
0,9,1,1,0,0,0,102,9,13,2
0,7,0,0,1,0,0,102,9,13,2
0,0,1,0,0,0,1,103,9,13,2
0,7,0,0,0,0,0,103,9,13,2
0,9,0,1,0,0,0,103,9,13,2
1,0,5,0,1,1,0,103,9,13,2
0,9,1,1,0,0,0,104,9,13,2
0,7,1,0,1,0,0,104,9,13,2
0,0,0,0,1,1,0,104,9,13,2
1,0,5,0,0,0,1,104,9,13,2
1,0,5,0,0,1,0,105,9,13,2
0,7,0,1,0,0,0,105,9,13,2
0,0,1,0,1,0,1,105,9,13,2
0,9,0,0,0,0,0,105,9,13,2
1,0,5,1,0,0,1,106,9,13,2
0,7,1,0,1,0,0,106,9,13,2
0,0,0,0,0,1,0,106,9,13,2
0,9,1,0,0,0,0,106,9,13,2
1,7,1,0,0,0,0,107,9,13,2
0,9,0,0,1,0,0,107,9,13,2
0,0,5,0,0,1,0,107,9,13,2
0,0,1,1,0,0,1,107,9,13,2
0,9,0,0,1,0,0,108,9,13,2
0,7,0,0,0,0,0,108,9,13,2
1,0,1,0,1,0,1,108,9,13,2
0,0,5,1,0,1,0,108,9,13,2
0,0,0,1,0,0,1,109,10,15,5
0,7,5,0,1,0,0,109,10,15,5
0,0,1,0,0,1,0,109,10,15,5
1,9,1,0,1,0,0,109,10,15,5
0,7,5,0,0,0,0,110,10,15,5
1,0,1,0,1,1,0,110,10,15,5
0,0,0,0,1,0,1,110,10,15,5
0,9,5,1,0,0,0,110,10,15,5
0,9,1,0,0,0,0,111,10,15,5
0,0,1,0,0,1,0,111,10,15,5
0,7,5,0,1,0,0,111,10,15,5
1,0,0,1,0,0,1,111,10,15,5
0,7,5,0,1,0,0,112,10,15,5
0,9,1,0,0,0,0,112,10,15,5
0,0,0,0,1,1,0,112,10,15,5
1,0,1,1,0,0,1,112,10,15,5
0,7,5,0,1,0,0,113,10,15,5
0,9,1,1,0,0,0,113,10,15,5
1,0,0,0,0,0,1,113,10,15,5
0,0,5,0,1,1,0,113,10,15,5
1,7,0,0,1,0,0,114,10,15,5
0,9,5,0,1,0,0,114,10,15,5
0,0,1,1,0,1,0,114,10,15,5
0,0,5,0,0,0,1,114,10,15,5
0,9,5,0,0,0,0,115,10,15,5
0,7,1,0,1,0,0,115,10,15,5
0,0,0,0,1,1,0,115,10,15,5
1,0,0,1,0,0,1,115,10,15,5
1,0,1,0,1,0,1,116,10,15,5
0,9,1,0,0,0,0,116,10,15,5
0,7,0,1,0,0,0,116,10,15,5
0,0,5,0,1,1,0,116,10,15,5
0,0,0,1,0,1,0,117,10,15,5
0,9,1,0,1,0,0,117,10,15,5
1,0,0,0,0,0,1,117,10,15,5
0,7,5,0,1,0,0,117,10,15,5
1,0,0,0,0,0,1,118,10,15,5
0,9,0,0,0,0,0,118,10,15,5
0,0,1,1,0,1,0,118,10,15,5
0,7,5,0,1,0,0,118,10,15,5
0,0,5,0,1,0,1,119,10,15,5
1,9,0,0,0,0,0,119,10,15,5
0,0,1,0,0,1,0,119,10,15,5
0,7,5,1,0,0,0,119,10,15,5
0,9,0,0,1,0,0,120,10,15,5
1,7,1,0,0,0,0,120,10,15,5
0,0,1,1,0,0,1,120,10,15,5
0,0,5,0,0,1,0,120,10,15,5
1,9,0,0,0,0,0,121,11,17,6
0,0,0,0,1,0,1,121,11,17,6
0,0,1,1,0,1,0,121,11,17,6
0,7,5,0,1,0,0,121,11,17,6
0,0,0,0,0,1,0,122,11,17,6
0,7,5,0,0,0,0,122,11,17,6
0,0,0,1,0,0,1,122,11,17,6
1,9,1,0,1,0,0,122,11,17,6
0,0,1,0,0,1,0,123,11,17,6
0,9,5,0,1,0,0,123,11,17,6
0,0,5,0,1,0,1,123,11,17,6
1,7,0,0,0,0,0,123,11,17,6
1,9,0,1,0,0,0,124,11,17,6
0,7,5,0,0,0,0,124,11,17,6
0,0,1,0,1,0,1,124,11,17,6
0,0,1,0,0,1,0,124,11,17,6
1,0,0,1,0,1,0,125,11,17,6
0,7,1,0,0,0,0,125,11,17,6
0,9,5,0,1,0,0,125,11,17,6
0,0,5,0,1,0,1,125,11,17,6
0,9,5,0,1,0,0,126,11,17,6
0,0,0,0,0,0,1,126,11,17,6
0,7,1,0,0,0,0,126,11,17,6
1,0,0,1,0,1,0,126,11,17,6
0,7,0,0,0,0,0,127,11,17,6
1,0,0,0,1,1,0,127,11,17,6
0,0,5,0,1,0,1,127,11,17,6
0,9,1,0,0,0,0,127,11,17,6
0,7,5,1,0,0,0,128,11,17,6
0,0,1,0,0,0,1,128,11,17,6
0,0,5,0,0,1,0,128,11,17,6
1,9,0,0,1,0,0,128,11,17,6
0,0,0,0,1,0,1,129,11,17,6
0,0,1,0,0,1,0,129,11,17,6
1,9,0,0,1,0,0,129,11,17,6
0,7,5,1,0,0,0,129,11,17,6
0,0,5,0,0,0,1,130,11,17,6
0,0,1,0,0,1,0,130,11,17,6
0,9,5,1,0,0,0,130,11,17,6
1,7,0,0,1,0,0,130,11,17,6
0,9,5,0,1,0,0,131,11,17,6
1,0,0,0,1,1,0,131,11,17,6
0,0,5,1,0,0,1,131,11,17,6
0,7,1,0,0,0,0,131,11,17,6
0,9,1,0,1,0,0,132,11,17,6
1,7,0,1,0,0,0,132,11,17,6
0,0,5,0,1,1,0,132,11,17,6
0,0,0,0,0,0,1,132,11,17,6
1,7,5,1,0,0,0,133,12,19,1
0,0,1,0,1,0,1,133,12,19,1
0,0,0,0,0,1,0,133,12,19,1
0,9,0,0,0,0,0,133,12,19,1
0,0,5,0,1,1,0,134,12,19,1
0,0,5,0,0,0,1,134,12,19,1
0,9,1,1,0,0,0,134,12,19,1
1,7,0,0,1,0,0,134,12,19,1
0,0,1,0,0,0,1,135,12,19,1
0,7,0,0,0,0,0,135,12,19,1
0,9,0,1,0,0,0,135,12,19,1
1,0,5,0,1,1,0,135,12,19,1
0,9,1,1,0,0,0,136,12,19,1
1,7,1,0,1,0,0,136,12,19,1
0,0,0,0,1,1,0,136,12,19,1
0,0,5,0,0,0,1,136,12,19,1
0,0,5,0,0,1,0,137,12,19,1
0,7,0,1,0,0,0,137,12,19,1
1,0,1,0,1,0,1,137,12,19,1
0,9,0,0,0,0,0,137,12,19,1
0,0,5,1,0,0,1,138,12,19,1
1,7,1,0,1,0,0,138,12,19,1
0,0,0,0,0,1,0,138,12,19,1
0,9,1,0,0,0,0,138,12,19,1
0,7,1,0,0,0,0,139,12,19,1
1,9,0,0,1,0,0,139,12,19,1
0,0,5,0,0,1,0,139,12,19,1
0,0,1,1,0,0,1,139,12,19,1
0,9,0,0,1,0,0,140,12,19,1
0,7,0,0,0,0,0,140,12,19,1
1,0,1,0,1,0,1,140,12,19,1
0,0,5,1,0,1,0,140,12,19,1
0,0,0,1,0,0,1,141,12,19,1
0,0,1,0,0,1,0,141,12,19,1
0,9,1,0,0,0,0,141,12,19,1
1,9,5,0,1,0,0,141,12,19,1
0,9,0,0,1,0,0,142,12,19,1
0,7,5,0,0,0,0,142,12,19,1
1,0,1,1,0,0,1,142,12,19,1
0,0,0,0,0,1,0,142,12,19,1
0,0,1,0,1,0,1,143,12,19,1
1,9,0,0,1,0,0,143,12,19,1
0,0,0,0,0,1,0,143,12,19,1
0,7,5,1,0,0,0,143,12,19,1
1,0,5,0,1,0,1,144,12,19,1
0,9,0,0,1,0,0,144,12,19,1
0,7,1,0,0,0,0,144,12,19,1
0,0,0,0,0,1,0,144,12,19,1
1,0,5,0,1,1,0,145,13,21,1
0,9,0,1,0,0,0,145,13,21,1
0,0,1,0,1,0,1,145,13,21,1
0,7,5,0,0,0,0,145,13,21,1
1,0,5,1,0,0,1,146,13,21,1
0,7,1,0,0,0,0,146,13,21,1
0,0,0,0,0,1,0,146,13,21,1
0,9,1,0,0,0,0,146,13,21,1
0,0,1,0,0,1,0,147,13,21,1
1,7,5,0,1,0,0,147,13,21,1
0,0,0,0,0,1,0,147,13,21,1
0,0,1,0,0,0,1,147,13,21,1
0,9,0,0,1,0,0,148,13,21,1
0,7,0,0,0,0,0,148,13,21,1
1,0,1,0,1,0,1,148,13,21,1
0,0,5,1,0,1,0,148,13,21,1
1,7,5,1,0,0,0,149,13,21,1
0,0,1,0,1,0,1,149,13,21,1
0,0,0,0,0,1,0,149,13,21,1
0,9,0,0,0,0,0,149,13,21,1
0,0,5,0,1,1,0,150,13,21,1
0,0,5,0,0,0,1,150,13,21,1
0,9,1,1,0,0,0,150,13,21,1
1,7,0,0,1,0,0,150,13,21,1
0,9,1,1,0,0,0,151,13,21,1
1,7,1,0,1,0,0,151,13,21,1
0,0,0,0,1,1,0,151,13,21,1
0,0,5,0,0,0,1,151,13,21,1
0,0,5,0,0,1,0,152,13,21,1
1,7,0,1,0,0,0,152,13,21,1
0,0,1,0,1,0,1,152,13,21,1
0,9,0,0,0,0,0,152,13,21,1
0,0,5,1,0,0,1,153,13,21,1
1,7,1,0,1,0,0,153,13,21,1
0,0,0,0,0,1,0,153,13,21,1
0,9,1,0,0,0,0,153,13,21,1
1,7,1,0,0,0,0,154,13,21,1
0,9,0,0,1,0,0,154,13,21,1
0,0,5,0,0,1,0,154,13,21,1
0,0,1,1,0,0,1,154,13,21,1
0,9,0,0,1,0,0,155,13,21,1
1,7,0,0,0,0,0,155,13,21,1
0,0,1,0,1,0,1,155,13,21,1
0,0,5,1,0,1,0,155,13,21,1
0,7,5,1,0,0,0,156,14,23,3
1,0,1,0,1,0,1,156,14,23,3
0,0,0,0,0,1,0,156,14,23,3
0,9,0,0,0,0,0,156,14,23,3
0,0,5,0,1,1,0,157,14,23,3
0,0,5,0,0,0,1,157,14,23,3
0,9,1,1,0,0,0,157,14,23,3
1,7,0,0,1,0,0,157,14,23,3
